"질문","답변"
"2025-1학기 장바구니 수강신청 1차는 언제야?","2025-1학기 장바구니 수강신청 1차는 2025년 1월 31일부터 2월 3일까지야."
"장바구니 수강신청 1차 기간이 어떻게 돼?","2025-1학기 장바구니 수강신청 1차는 2025년 1월 31일부터 2월 3일까지 진행돼."
"1학기 장바구니 1차는 며칠 동안 해?","2025-1학기 장바구니 수강신청 1차는 2025년 1월 31일부터 2월 3일까지 총 4일 동안 해."
"장바구니 수강신청 1차는 언제 시작해?","2025-1학기 장바구니 수강신청 1차는 2025년 1월 31일부터 시작해."
"장바구니 1차는 언제 끝나?","2025-1학기 장바구니 수강신청 1차는 2025년 2월 3일에 끝나."
"2025-1학기 수강신청 1차는 언제야?","2025-1학기 수강신청 1차는 2025년 2월 5일부터 2월 7일까지야."
"재학생 1차 수강신청은 언제부터야?","2025-1학기 재학생 1차 수강신청은 2025년 2월 5일부터야."
"수강신청 1차 기간이 어떻게 되나요?","2025-1학기 수강신청 1차는 2025년 2월 5일부터 2월 7일까지야."
"1학기 수강신청 1차는 며칠 동안이야?","2025-1학기 수강신청 1차는 2025년 2월 5일부터 2월 7일까지 총 3일 동안이야."
"수강신청 1차는 언제 끝나?","2025-1학기 수강신청 1차는 2025년 2월 7일에 끝나."
"교차수강신청은 언제 시작해?","2025-1학기 교차수강신청은 2025년 2월 11일부터 시작해."
"서울과 천안 교차수강신청은 언제야?","2025-1학기 교차수강신청은 2025년 2월 11일부터 2월 12일까지야."
"교차수강신청 기간은 며칠이야?","2025-1학기 교차수강신청은 2025년 2월 11일부터 2월 12일까지 총 2일이야."
"교차수강신청은 어디서 진행해?","2025-1학기 교차수강신청은 2025년 2월 11일부터 2월 12일까지 서울과 천안에서 진행해."
"교차수강신청은 언제까지야?","2025-1학기 교차수강신청은 2025년 2월 12일까지야."
"장바구니 수강신청 2차는 언제야?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일에 있어."
"장바구니 2차는 언제 하는 거야?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일에 해."
"장바구니 수강신청 2차는 며칠 동안이야?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일 하루 동안이야."
"장바구니 2차는 언제 끝나?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일에 끝나."
"재학생 장바구니 2차는 언제야?","2025-1학기 장바구니 수강신청 2차는 2025년 2월 14일에 있어."
"신입생 수강신청은 언제부터야?","2025-1학기 신·편입생 수강신청은 2025년 2월 18일부터 2월 20일까지야."
"신·편입생 수강신청은 언제 시작해?","2025-1학기 신·편입생 수강신청은 2025년 2월 18일부터 시작해."
"신입생 수강신청 기간이 어떻게 돼?","2025-1학기 신·편입생 수강신청은 2025년 2월 18일부터 2월 20일까지야."
"2025-1학기 신입생 수강신청은 며칠이야?","2025-1학기 신·편입생 수강신청은 2025년 2월 18일부터 2월 20일까지 총 3일이야."
"신입생 수강신청은 언제 끝나?","2025-1학기 신·편입생 수강신청은 2025년 2월 20일에 끝나."
"1학기 등록은 언제부터야?","2025-1학기 등록은 2025년 2월 19일부터 2월 24일까지야."
"등록 기간이 언제부터 언제까지야?","2025-1학기 등록은 2025년 2월 19일부터 2월 24일까지야."
"2025-1학기 등록은 언제 시작해?","2025-1학기 등록은 2025년 2월 19일부터 시작해."
"등록은 며칠 동안 할 수 있어?","2025-1학기 등록은 2025년 2월 19일부터 2월 24일까지 총 6일 동안 할 수 있어."
"1학기 등록은 언제 끝나?","2025-1학기 등록은 2025년 2월 24일에 끝나."
"재학생 2차 수강신청은 언제야?","2025-1학기 재학생 2차 수강신청은 2025년 2월 20일에 있어."
"2025-1학기 재학생 2차는 언제 해?","2025-1학기 재학생 2차 수강신청은 2025년 2월 20일에 해."
"재학생 2차 수강신청은 며칠 동안이야?","2025-1학기 재학생 2차 수강신청은 2025년 2월 20일 하루 동안이야."
"재학생 2차는 언제 끝나?","2025-1학기 재학생 2차 수강신청은 2025년 2월 20일에 끝나."
"2024학년도 전기 학위수여식은 언제야?","2024학년도 전기 학위수여식은 2025년 2월 25일에 있어."
"학위수여식은 어디서 해?","2024학년도 전기 학위수여식은 2025년 2월 25일에 서울과 천안에서 해."
"전기 학위수여식은 언제 진행돼?","2024학년도 전기 학위수여식은 2025년 2월 25일에 진행돼."
"2025학년도 천안 입학식은 언제야?","2025학년도 천안 입학식은 2025년 2월 26일이야."
"천안 입학식은 언제 어디서 해?","2025학년도 천안 입학식은 2025년 2월 26일에 천안에서 해."
"입학식은 천안에서 언제야?","2025학년도 천안 입학식은 2025년 2월 26일에 있어."
"2025학년도 서울 입학식은 언제야?","2025학년도 서울 입학식은 2025년 2월 27일이야."
"서울 입학식은 언제 어디서 해?","2025학년도 서울 입학식은 2025년 2월 27일에 서울에서 해."
"입학식 서울 날짜가 언제지?","2025학년도 서울 입학식은 2025년 2월 27일이야."
"폐강 공고는 언제 나와?","2025-1학기 폐강 공고는 2025년 2월 28일에 나와."
"2025-1학기 폐강은 언제 알 수 있어?","2025-1학기 폐강 공고는 2025년 2월 28일에 알 수 있어."
